Problem settings:
Lx=1 Ly=1 Nx=50 Ny=50 Re=100 dt=0.01 T=5
MPIRANKS  |  OMPTHREADS  |  Initialising  |  WriteIC  |  Integrate  |  WriteSOL  |  Total
 1 |   1 |  0.000131s|  1.730914|  7.880462s  |  1.443907s |  11.055413s
 1 |   1 |  0.000144s|  1.481534|  5.633492s  |  1.703733s |  8.818903s
 4 |   1 |  0.000054s|  1.715127|  4.120063s  |  2.014961s |  7.850205s
 9 |   1 |  0.000047s|  2.053700|  3.699813s  |  1.846089s |  7.599650s
16 |   1 |  0.000045s|  1.764103|  4.828193s  |  1.796815s |  8.389155s
 1 |   1 |  0.000178s|  1.511228|  6.290244s  |  4.107423s |  11.909073s
 1 |   1 |  0.000232s|  4.526381|  5.457882s  |  2.557931s |  12.542426s
 1 |   2 |  0.000120s|  2.842916|  6.065437s  |  5.324903s |  14.233375s
 1 |   3 |  0.000108s|  6.013454|  8.269680s  |  7.962592s |  22.245834s
 1 |   4 |  0.000145s|  3.406102|  8.884801s  |  2.967300s |  15.258348s
 1 |   5 |  0.000171s|  3.472950|  8.021199s  |  2.139056s |  13.633376s
 1 |   6 |  0.000239s|  2.146260|  7.969354s  |  4.328626s |  14.444479s
 1 |   7 |  0.000120s|  2.961072|  8.161733s  |  1.960429s |  13.083354s
 1 |   8 |  0.000145s|  1.751376|  7.768015s  |  3.823553s |  13.343089s
 1 |   9 |  0.000150s|  1.736102|  11.152505s  |  4.629105s |  17.517863s
 1 |  10 |  0.000133s|  3.877493|  9.774545s  |  3.911893s |  17.564064s
 1 |  11 |  0.000177s|  2.690664|  9.113775s  |  1.665688s |  13.470303s
 1 |  12 |  0.000215s|  3.924390|  9.537788s  |  4.077970s |  17.540363s
 1 |  13 |  0.000161s|  2.250441|  10.731533s  |  1.938317s |  14.920451s
 1 |  14 |  0.000256s|  3.353239|  13.674142s  |  1.656077s |  18.683715s
 1 |  15 |  0.000136s|  1.423849|  22.510104s  |  1.318724s |  25.252814s
 1 |  16 |  0.000150s|  1.348299|  32.655987s  |  1.689122s |  35.693558s
