Problem settings:
Lx=1 Ly=1 Nx=100 Ny=100 Re=1000 dt=0.01 T=5
MPIRANKS  |  OMPTHREADS  |  Initialising  |  WriteIC  |  Integrate  |  WriteSOL  |  Total
 1 |   1 |  0.000276s|  5.923762|  53.329216s  |  6.282789s |  65.536043s
 1 |   1 |  0.000364s|  6.304081|  55.922249s  |  8.642666s |  70.869360s
 4 |   1 |  0.000151s|  10.150848|  23.046927s  |  6.494213s |  39.692139s
 9 |   1 |  0.000082s|  8.670857|  18.276573s  |  8.745630s |  35.693142s
16 |   1 |  0.000054s|  10.983931|  26.928414s  |  8.396843s |  46.309242s
 1 |   1 |  0.000306s|  5.955561|  47.711069s  |  5.214948s |  58.881885s
 1 |   1 |  0.000360s|  6.513865|  56.103486s  |  5.019758s |  67.637469s
 1 |   2 |  0.000416s|  4.936382|  41.399626s  |  6.905967s |  53.242391s
 1 |   3 |  0.000338s|  7.071742|  39.529710s  |  4.805650s |  51.407440s
 1 |   4 |  0.000384s|  4.805052|  33.676437s  |  6.152884s |  44.634756s
 1 |   5 |  0.000375s|  6.217462|  37.385721s  |  6.646681s |  50.250239s
 1 |   6 |  0.000300s|  5.305935|  39.607457s  |  6.289963s |  51.203654s
 1 |   7 |  0.000319s|  5.875181|  37.699699s  |  6.223772s |  49.798971s
 1 |   8 |  0.000379s|  5.314125|  41.356159s  |  6.037487s |  52.708151s
 1 |   9 |  0.000414s|  5.315534|  40.475725s  |  6.750768s |  52.542442s
 1 |  10 |  0.000355s|  6.747665|  38.420920s  |  8.112341s |  53.281282s
 1 |  11 |  0.000339s|  10.736215|  42.576414s  |  6.872216s |  60.185183s
 1 |  12 |  0.000426s|  7.011675|  34.384686s  |  5.795504s |  47.192291s
 1 |  13 |  0.000409s|  6.597132|  47.457298s  |  6.063747s |  60.118586s
 1 |  14 |  0.000560s|  5.963094|  44.467706s  |  6.393970s |  56.825331s
 1 |  15 |  0.000422s|  5.868679|  52.662774s  |  7.706882s |  66.238758s
 1 |  16 |  0.000354s|  8.371051|  50.114696s  |  11.360263s |  69.846363s
