Problem settings:
Lx=1 Ly=1 Nx=201 Ny=201 Re=1000 dt=0.005 T=5
MPIRANKS [#]  |  OMPTHREADS [#] |  Initialising [s] |  WriteIC [s]  |  Integrate [s]  |  WriteSOL [s]  |  Total [s]
1             |  1             |    0.000962        |    26.474433  |   700.030517  |    28.957992  |   755.463903
4             |  1             |    0.000296        |    31.300250  |   214.110918  |    21.510179  |   266.921644
9             |  1             |    0.000157        |    24.314295  |   151.810315  |    28.695064  |   204.819830
16            |  1             |    0.000118        |    26.059187  |   125.274378  |    27.067975  |   178.401658
1             |  1             |    0.001171        |    25.949239  |   742.417474  |    19.913518  |   788.281403
1             |  2             |    0.000938        |    23.864298  |   569.826624  |    27.287116  |   620.978976
1             |  4             |    0.001292        |    29.952533  |   431.003054  |    33.733260  |   494.690138
1             |  6             |    0.001108        |    28.285188  |   468.141518  |    25.994710  |   522.422524
1             |  8             |    0.001436        |    24.444948  |   392.919717  |    33.551603  |   450.917704
1             |  10            |    0.001159        |    41.403669  |   393.598233  |    22.406501  |   457.409561
1             |  12            |    0.001069        |    21.566724  |   424.626212  |    24.822643  |   471.016648
1             |  14            |    0.001635        |    23.331646  |   413.412174  |    31.720010  |   468.465465
1             |  16            |    0.001184        |    25.108188  |   594.948189  |    33.994260  |   654.051821
