Problem settings:
Lx=1 Ly=1 Nx=201 Ny=201 Re=10 dt=0.00005 T=0.005
MPIRANKS [#]  |  OMPTHREADS [#] |  Initialising [s] |  WriteIC [s]  |  Integrate [s]  |  WriteSOL [s]  |  Total [s]
1             |  1             |    0.001659        |    11.774677  |    45.616385  |    12.190699  |    69.583421
4             |  1             |    0.000217        |    11.433732  |    12.229461  |    12.388303  |    36.051713
9             |  1             |    0.000218        |    11.767651  |     6.649706  |    12.451070  |    30.868645
16            |  1             |    0.000078        |    12.387885  |     4.993639  |    12.787676  |    30.169278
1             |  1             |    0.000738        |    11.903728  |    45.517330  |    13.960954  |    71.382750
1             |  2             |    0.000708        |    12.241660  |    33.832862  |    12.334226  |    58.409457
1             |  4             |    0.000725        |    11.531002  |    27.950982  |    11.804907  |    51.287617
1             |  6             |    0.000721        |    11.568578  |    31.137038  |    11.464255  |    54.170593
1             |  8             |    0.000734        |    11.458771  |    28.458370  |    11.328625  |    51.246501
1             |  10            |    0.000722        |    12.123068  |    32.444846  |    11.988287  |    56.556923
1             |  12            |    0.000725        |    11.468977  |    31.090795  |    11.282344  |    53.842842
1             |  14            |    0.000725        |    11.896032  |    29.666491  |    11.558739  |    53.121988
1             |  16            |    0.000700        |    12.843772  |    35.276399  |    11.684093  |    59.804965
