Problem settings:
Lx=1 Ly=1 Nx=51 Ny=51 Re=100 dt=0.01 T=10
MPIRANKS [#]  |  OMPTHREADS [#] |  Initialising [s] |  WriteIC [s]  |  Integrate [s]  |  WriteSOL [s]  |  Total [s]
1             |  1             |    0.000085        |     0.774222  |     6.474010  |     0.765067  |     8.013385
4             |  1             |    0.000038        |     0.794985  |     3.174378  |     0.814331  |     4.783732
9             |  1             |    0.000026        |     0.804492  |     3.672056  |     0.970299  |     5.446873
16            |  1             |    0.000022        |     1.260865  |     9.067774  |     1.690044  |    12.018705
1             |  1             |    0.000072        |     0.827556  |     6.419906  |     0.832797  |     8.080331
1             |  2             |    0.000077        |     0.819842  |     6.565163  |     0.830876  |     8.215958
1             |  4             |    0.000077        |     0.850816  |     9.286868  |     0.800167  |    10.937928
1             |  6             |    0.000072        |     0.794291  |     9.871556  |     0.767635  |    11.433556
1             |  8             |    0.000081        |     0.768005  |    14.205352  |     0.820677  |    15.794116
1             |  10            |    0.000075        |     0.850481  |    22.297824  |     0.901972  |    24.050351
1             |  12            |    0.000073        |     0.881328  |    24.809678  |     0.786999  |    26.478079
1             |  14            |    0.000074        |     0.799582  |    27.592282  |     0.840501  |    29.232440
1             |  16            |    0.000086        |     0.885701  |    43.099243  |     0.782876  |    44.767905
